"filename", "language", "JavaScript", "Vue", "HTML", "Markdown", "JSON", "JSON with Comments", "CSS", "XML", "comment", "blank", "total"
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\views\Message\childComps\LeftShow.vue", "Vue", 0, 143, 0, 0, 0, 0, 0, 0, 3, 5, 151
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\views\Message\childComps\Message.vue", "Vue", 0, 192, 0, 0, 0, 0, 0, 0, 3, 10, 205
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\views\Message\index.vue", "Vue", 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\views\Profile\childComps\LeftShow.vue", "Vue", 0, 210, 0, 0, 0, 0, 0, 0, 0, 8, 218
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\views\Profile\childComps\Setting.vue", "Vue", 0, 397, 0, 0, 0, 0, 0, 0, 10, 17, 424
"e:\关于前端\vue2项目\飞书项目\chatingroom\src\views\Profile\index.vue", "Vue", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"e:\关于前端\vue2项目\飞书项目\chatingroom\test1.html", "HTML", 0, 0, 76, 0, 0, 0, 0, 0, 1, 1, 78
"e:\关于前端\vue2项目\飞书项目\chatingroom\test2.html", "HTML", 0, 0, 143, 0, 0, 0, 0, 0, 0, 12, 155
"e:\关于前端\vue2项目\飞书项目\chatingroom\vue.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 13, 2, 28
"Total", "-", 4313, 4646, 239, 19, 19781, 8, 81, 1, 1738, 1544, 32370
